date,reservoir_storage,conservation_storage,percent_full,conservation_capacity
1951-05-02,36370,36370,38.6,94250
1951-05-03,44540,44540,47.3,94250
1951-05-04,57400,57400,60.9,94250
1951-05-05,67400,67400,71.5,94250
1951-05-06,73250,73250,77.7,94250
1951-05-07,73130,73130,77.6,94250
1951-05-08,72000,72000,76.4,94250
1951-05-09,71330,71330,75.7,94250
1951-05-10,71890,71890,76.3,94250
1951-05-11,72340,72340,76.8,94250
1951-05-12,74040,74040,78.6,94250
1951-05-13,74730,74730,79.3,94250
1951-05-14,75540,75540,80.1,94250
1951-05-15,76010,76010,80.6,94250
1951-05-16,76240,76240,80.9,94250
1951-05-17,76360,76360,81.0,94250
1951-05-18,76950,76950,81.6,94250
1951-05-19,76950,76950,81.6,94250
1951-05-20,76600,76600,81.3,94250
1951-05-21,76010,76010,80.6,94250
1951-05-22,75300,75300,79.9,94250
1951-05-23,74620,74620,79.2,94250
1951-05-24,74390,74390,78.9,94250
1951-05-25,73130,73130,77.6,94250
1951-05-26,71560,71560,75.9,94250
1951-05-27,70440,70440,74.7,94250
1951-05-28,68910,68910,73.1,94250
1951-05-29,67400,67400,71.5,94250
1951-05-30,66660,66660,70.7,94250
1951-05-31,66660,66660,70.7,94250
1951-06-01,66440,66440,70.5,94250
1951-06-02,66130,66130,70.2,94250
1951-06-03,64970,64970,68.9,94250
1951-06-04,63730,63730,67.6,94250
1951-06-05,62810,62810,66.6,94250
1951-06-06,63630,63630,67.5,94250
1951-06-07,63630,63630,67.5,94250
1951-06-08,62000,62000,65.8,94250
1951-06-09,60800,60800,64.5,94250
1951-06-10,59320,59320,62.9,94250
1951-06-11,58160,58160,61.7,94250
1951-06-12,57020,57020,60.5,94250
1951-06-13,55500,55500,58.9,94250
1951-06-14,53840,53840,57.1,94250
1951-06-15,52210,52210,55.4,94250
1951-06-16,50530,50530,53.6,94250
1951-06-17,49830,49830,52.9,94250
1951-06-18,49740,49740,52.8,94250
1951-06-19,50700,50700,53.8,94250
1951-06-20,50880,50880,54.0,94250
1951-06-21,50260,50260,53.3,94250
1951-06-22,49740,49740,52.8,94250
1951-06-23,47770,47770,50.7,94250
1951-06-24,46840,46840,49.7,94250
1951-06-25,45840,45840,48.6,94250
1951-06-26,45190,45190,47.9,94250
1951-06-27,44130,44130,46.8,94250
1951-06-28,43090,43090,45.7,94250
1951-06-29,41830,41830,44.4,94250
1951-06-30,40670,40670,43.2,94250
1951-07-01,38930,38930,41.3,94250
1951-07-02,37230,37230,39.5,94250
1951-07-03,36150,36150,38.4,94250
1951-07-04,34400,34400,36.5,94250
1951-07-05,32690,32690,34.7,94250
1951-07-06,30400,30400,32.3,94250
1951-07-07,28330,28330,30.1,94250
1951-07-08,26010,26010,27.6,94250
1951-07-09,23640,23640,25.1,94250
1951-07-10,21020,21020,22.3,94250
1951-07-11,18990,18990,20.1,94250
1951-07-12,16870,16870,17.9,94250
1951-07-13,15380,15380,16.3,94250
1951-07-14,13920,13920,14.8,94250
1951-07-15,12380,12380,13.1,94250
1951-07-16,11010,11010,11.7,94250
1951-07-17,9790,9790,10.4,94250
1951-07-18,8670,8670,9.2,94250
1951-07-19,7480,7480,7.9,94250
1951-07-20,6550,6550,6.9,94250
1951-07-21,5660,5660,6.0,94250
1951-07-22,4870,4870,5.2,94250
1951-07-23,4150,4150,4.4,94250
1951-07-24,3440,3440,3.6,94250
1951-07-25,2890,2890,3.1,94250
1951-07-26,2410,2410,2.6,94250
1951-07-27,2000,2000,2.1,94250
1951-07-28,1510,1510,1.6,94250
1951-07-29,1200,1200,1.3,94250
1951-07-30,995,995,1.1,94250
1951-07-31,742,742,0.8,94250
1951-08-01,473,473,0.5,94250
1951-08-02,261,261,0.3,94250
1951-08-03,233,233,0.2,94250
1951-08-04,218,218,0.2,94250
1951-08-05,208,208,0.2,94250
1951-08-06,186,186,0.2,94250
1951-08-07,149,149,0.2,94250
1951-08-08,24,24,0.0,94250
1951-08-09,23,23,0.0,94250
1951-08-10,22,22,0.0,94250
1951-08-11,21,21,0.0,94250
1951-08-12,21,21,0.0,94250
1951-08-13,20,20,0.0,94250
1951-08-14,19,19,0.0,94250
1951-08-15,18,18,0.0,94250
1951-08-16,18,18,0.0,94250
1951-08-17,18,18,0.0,94250
1951-08-18,17,17,0.0,94250
1951-08-19,17,17,0.0,94250
1951-08-20,16,16,0.0,94250
1951-08-21,16,16,0.0,94250
1951-08-22,17,17,0.0,94250
1951-08-23,16,16,0.0,94250
1951-08-24,15,15,0.0,94250
1951-08-25,15,15,0.0,94250
1951-08-26,15,15,0.0,94250
1951-08-27,14,14,0.0,94250
1951-08-28,14,14,0.0,94250
1951-08-29,14,14,0.0,94250
1951-08-30,14,14,0.0,94250
1951-08-31,13,13,0.0,94250
1951-09-01,13,13,0.0,94250
1951-09-02,12,12,0.0,94250
1951-09-03,12,12,0.0,94250
1951-09-04,14,14,0.0,94250
1951-09-05,14,14,0.0,94250
1951-09-06,13,13,0.0,94250
1951-09-07,14,14,0.0,94250
1951-09-08,14,14,0.0,94250
1951-09-09,13,13,0.0,94250
1951-09-10,15,15,0.0,94250
1951-09-11,16,16,0.0,94250
1951-09-12,17,17,0.0,94250
1951-09-13,17,17,0.0,94250
1951-09-14,17,17,0.0,94250
1951-09-15,74,74,0.1,94250
1951-09-16,181,181,0.2,94250
1951-09-17,255,255,0.3,94250
1951-09-18,295,295,0.3,94250
1951-09-19,421,421,0.4,94250
1951-09-20,576,576,0.6,94250
1951-09-21,791,791,0.8,94250
1951-09-22,998,998,1.1,94250
1951-09-23,1570,1570,1.7,94250
1951-09-24,4910,4910,5.2,94250
1951-09-25,6220,6220,6.6,94250
1951-09-26,6840,6840,7.3,94250
1951-09-27,9790,9790,10.4,94250
1951-09-28,11090,11090,11.8,94250
1951-09-29,12140,12140,12.9,94250
1951-09-30,9970,9970,10.6,94250
1951-10-01,7460,7460,7.9,94250
1951-10-02,5190,5190,5.5,94250
1951-10-03,3270,3270,3.5,94250
1951-10-04,3190,3190,3.4,94250
1951-10-05,3630,3630,3.9,94250
1951-10-06,4020,4020,4.3,94250
1951-10-07,4380,4380,4.6,94250
1951-10-08,4810,4810,5.1,94250
1951-10-09,5110,5110,5.4,94250
1951-10-10,5390,5390,5.7,94250
1951-10-11,5400,5400,5.7,94250
1951-10-12,5370,5370,5.7,94250
1951-10-13,5390,5390,5.7,94250
1951-10-14,5370,5370,5.7,94250
1951-10-15,5360,5360,5.7,94250
1951-10-16,5390,5390,5.7,94250
1951-10-17,5410,5410,5.7,94250
1951-10-18,5390,5390,5.7,94250
1951-10-19,5320,5320,5.6,94250
1951-10-20,5240,5240,5.6,94250
1951-10-21,5170,5170,5.5,94250
1951-10-22,5110,5110,5.4,94250
1951-10-23,5060,5060,5.4,94250
1951-10-24,5040,5040,5.3,94250
1951-10-25,5100,5100,5.4,94250
1951-10-26,4970,4970,5.3,94250
1951-10-27,4810,4810,5.1,94250
1951-10-28,4640,4640,4.9,94250
1951-10-29,4470,4470,4.7,94250
1951-10-30,4300,4300,4.6,94250
1951-10-31,4140,4140,4.4,94250
1951-11-01,3990,3990,4.2,94250
1951-11-02,4120,4120,4.4,94250
1951-11-03,4500,4500,4.8,94250
1951-11-04,4680,4680,5.0,94250
1951-11-05,4760,4760,5.1,94250
1951-11-06,4810,4810,5.1,94250
1951-11-07,5110,5110,5.4,94250
1951-11-08,5520,5520,5.9,94250
1951-11-09,5900,5900,6.3,94250
1951-11-10,6180,6180,6.6,94250
1951-11-11,6420,6420,6.8,94250
1951-11-12,6700,6700,7.1,94250
1951-11-13,7030,7030,7.5,94250
1951-11-14,7210,7210,7.6,94250
1951-11-15,7350,7350,7.8,94250
1951-11-16,7440,7440,7.9,94250
1951-11-17,7600,7600,8.1,94250
1951-11-18,7960,7960,8.4,94250
1951-11-19,8200,8200,8.7,94250
1951-11-20,8540,8540,9.1,94250
1951-11-21,8800,8800,9.3,94250
1951-11-22,9100,9100,9.7,94250
1951-11-23,9400,9400,10.0,94250
1951-11-24,9680,9680,10.3,94250
1951-11-25,9950,9950,10.6,94250
1951-11-26,10200,10200,10.8,94250
1951-11-27,10510,10510,11.2,94250
1951-11-28,10910,10910,11.6,94250
1951-11-29,11160,11160,11.8,94250
1951-11-30,11490,11490,12.2,94250
1951-12-01,11740,11740,12.5,94250
1951-12-02,12120,12120,12.9,94250
1951-12-03,12570,12570,13.3,94250
1951-12-04,13040,13040,13.8,94250
1951-12-05,14200,14200,15.1,94250
1951-12-06,15230,15230,16.2,94250
1951-12-07,15730,15730,16.7,94250
1951-12-08,16210,16210,17.2,94250
1951-12-09,16420,16420,17.4,94250
1951-12-10,12350,12350,13.1,94250
1951-12-11,8030,8030,8.5,94250
1951-12-12,8280,8280,8.8,94250
1951-12-13,10270,10270,10.9,94250
1951-12-14,12000,12000,12.7,94250
1951-12-15,12910,12910,13.7,94250
1951-12-16,12980,12980,13.8,94250
1951-12-17,10730,10730,11.4,94250
1951-12-18,11270,11270,12.0,94250
1951-12-19,12060,12060,12.8,94250
1951-12-20,11910,11910,12.6,94250
1951-12-21,11710,11710,12.4,94250
1951-12-22,11570,11570,12.3,94250
1951-12-23,11030,11030,11.7,94250
1951-12-24,11060,11060,11.7,94250
1951-12-25,11490,11490,12.2,94250
1951-12-26,11910,11910,12.6,94250
1951-12-27,11910,11910,12.6,94250
1951-12-28,11160,11160,11.8,94250
1951-12-29,11740,11740,12.5,94250
1951-12-30,12630,12630,13.4,94250
1951-12-31,13140,13140,13.9,94250
1952-01-01,13570,13570,14.4,94250
1952-01-02,11650,11650,12.4,94250
1952-01-03,12570,12570,13.3,94250
1952-01-04,12600,12600,13.4,94250
1952-01-05,12140,12140,12.9,94250
1952-01-06,11600,11600,12.3,94250
1952-01-07,11570,11570,12.3,94250
1952-01-08,11160,11160,11.8,94250
1952-01-09,11850,11850,12.6,94250
1952-01-10,12170,12170,12.9,94250
1952-01-11,11850,11850,12.6,94250
